node_1|node_2|edge|chunk_id
abfindung|betriebsbedingte kündigung|Abfindung steht im Zusammenhang mit betriebsbedingter Kündigung|deed3878d3cb4d19b4cf72e2da7470d5
abfindung|kündigungsschutzklage|Abfindung steht im Zusammenhang mit Kündigungsschutzklage|deed3878d3cb4d19b4cf72e2da7470d5
abfindung|kündigungsfrist|Abfindung entsteht nach Ablauf der Kündigungsfrist|deed3878d3cb4d19b4cf72e2da7470d5
abfindung|arbeitsverhältnis|Abfindung wird im Zusammenhang mit dem Ende des Arbeitsverhältnisses gezahlt|deed3878d3cb4d19b4cf72e2da7470d5
abfindung|sozialplanabfindung|Risiko der doppelten Abfindungszahlung bei betriebsbedingter Kündigung|deed3878d3cb4d19b4cf72e2da7470d5
abfindung|arbeitslosengeldanspruch|Auswirkung der Abfindung nach § 1a KSchG auf den Anspruch auf Arbeitslosengeld|deed3878d3cb4d19b4cf72e2da7470d5
betriebsbedingte kündigung|sozialauswahl|Eine betriebsbedingte Kündigung erfordert die Durchführung einer Sozialauswahl, bei der bestimmte Kriterien wie Dauer der Betriebszugehörigkeit, Lebensalter, Unterhaltspflichten und Schwerbehinderung zu berücksichtigen sind.|9e3f895fcc0547f49518720cb4e011d8
auswahlentscheidung|soziale rechtfertigung|Eine ordentliche Kündigung ist trotz Vorliegens von dringenden betrieblichen Erfordernissen sozial nicht gerechtfertigt, wenn der Arbeitgeber bei der Auswahlentscheidung soziale Gesichtspunkte nicht oder nicht ausreichend berücksichtigt.|9e3f895fcc0547f49518720cb4e011d8
auswahlentscheidung|soziale gesichtspunkte|Die Auswahlentscheidung muss soziale Gesichtspunkte wie Dauer der Betriebszugehörigkeit, Lebensalter, Unterhaltspflichten und Schwerbehinderung berücksichtigen.|9e3f895fcc0547f49518720cb4e011d8
sozialauswahl|betriebliche maßnahme|Bei betrieblichen Maßnahmen wie Einführung von neuen Produktionsmethoden sind von der Sozialauswahl betroffene vergleichbare Arbeitnehmer einzubeziehen.|9e3f895fcc0547f49518720cb4e011d8
sozialauswahl|arbeitsplätze|Arbeitsplätze mit identischen oder vergleichbaren Aufgabengebieten werden in die Sozialauswahl einbezogen.|9e3f895fcc0547f49518720cb4e011d8
arbeitsplätze|vergleichbarkeit|Die Vergleichbarkeit der in die soziale Auswahl einzubeziehenden Arbeitnehmer richtet sich nach arbeitsplatzbezogenen Merkmalen.|9e3f895fcc0547f49518720cb4e011d8
arbeitsplätze|austauschbarkeit|Die Austauschbarkeit der Arbeitnehmer hängt davon ab, ob sie unter Berücksichtigung ihrer beruflichen Qualifikation und betrieblichen Aufgabenstellung in der Lage sind, die andersartige, aber gleichwertige Arbeit auszuüben.|9e3f895fcc0547f49518720cb4e011d8
sozialauswahl|tarifliche eingruppierung|Die tarifliche Eingruppierung dient als Anhaltspunkt für das Vorliegen einer vergleichbaren Tätigkeit.|9e3f895fcc0547f49518720cb4e011d8
sozialauswahl|arbeitszeitgestaltung|Bei der Kündigung von Teilzeitkräften sind Vollzeitbeschäftigte abhängig von der betrieblichen Organisation in die Sozialauswahl einzubeziehen.|9e3f895fcc0547f49518720cb4e011d8
sozialauswahl|betriebsübergang|Bei einem Betriebsübergang können Arbeitnehmer, die einem Betriebsübergang ihres Arbeitsverhältnisses widersprochen haben, sich bei einer nachfolgenden Kündigung nicht auf Gründe für den Widerspruch berufen.|9e3f895fcc0547f49518720cb4e011d8
sozialauswahl|interessenausgleich|Zwischen Arbeitgeber und Betriebsrat festgelegte Kriterien der Sozialauswahl sind unbeachtlich, wenn eine Betriebsvereinbarung (Auswahlrichtlinie) nach § 95 BetrVG vorliegt.|9e3f895fcc0547f49518720cb4e011d8
sozialauswahl|kündigungsschutz|Arbeitnehmer können aus der sozialen Auswahl ausgegrenzt werden, wenn ihre Weiterbeschäftigung im berechtigten betrieblichen Interesse liegt sowie zur Sicherung einer ausgewogenen Personalstruktur des Betriebs.|9e3f895fcc0547f49518720cb4e011d8
betriebsbedingte kündigung|sozialauswahl|Definiert die Auswahl von Arbeitnehmern bei betriebsbedingten Kündigungen|bce548c9e1b34a01aa863b4cced3bb52
sozialauswahl|sozialdaten|Die Auswahl basiert auf den Sozialdaten der Arbeitnehmer|bce548c9e1b34a01aa863b4cced3bb52
punktesystem|sozialauswahl|Das Punktesystem wird bei der Sozialauswahl verwendet, um die Arbeitnehmer zu bewerten und auszuwählen|bce548c9e1b34a01aa863b4cced3bb52
punktesystem|auswahlfehler|Ein Fehler bei der Anwendung des Punktesystems kann zu Auswahlfehlern führen|bce548c9e1b34a01aa863b4cced3bb52
altersgruppenbildung|sozialauswahl|Das BAG billigt die Bildung von Altersgruppen zur Erhaltung einer ausgewogenen Altersstruktur im Rahmen der Sozialauswahl|bce548c9e1b34a01aa863b4cced3bb52
betriebsbedingte kündigung|berechtigtes betriebliches interesse|Der Arbeitgeber kann bei betriebsbedingten Kündigungen Arbeitnehmer, deren Weiterbeschäftigung im berechtigten betrieblichen Interesse liegt, von der Sozialauswahl ausnehmen|bce548c9e1b34a01aa863b4cced3bb52
berechtigtes betriebliches interesse|betriebsbedingte kündigung|Bestimmt, aus welchen betrieblichen Gründen ein Arbeitnehmer von der Sozialauswahl ausgenommen werden kann|bce548c9e1b34a01aa863b4cced3bb52
auskunftspflicht des arbeitgebers|soziale auswahl|Der Arbeitgeber muss dem Arbeitnehmer auf Verlangen Auskunft über die durchgeführte soziale Auswahl geben|bce548c9e1b34a01aa863b4cced3bb52
darlegungs- und beweislast|betriebsbedingte kündigung|Es besteht eine abgestufte Verteilung der Darlegungs- und Beweislast zwischen Arbeitgeber und Arbeitnehmer bei betriebsbedingten Kündigungen|bce548c9e1b34a01aa863b4cced3bb52
betriebsbedingte kündigung|soziale rechtfertigung|Eine ordentliche Kündigung ist sozial gerechtfertigt, wenn sie durch dringende betriebliche Erfordernisse bedingt ist.|a169d41b54e44ca9973c17e3c666e489
betriebsbedingte kündigung|betriebsbedingte gründe|Eine betriebsbedingte Kündigung ist sozial gerechtfertigt, wenn der Arbeitsplatz im Betrieb infolge dringender betrieblicher Erfordernisse weggefallen ist.|a169d41b54e44ca9973c17e3c666e489
betriebsbedingte kündigung|sozialdaten|Die 4 Sozialdaten Dauer der Betriebszugehörigkeit, Lebensalter, Unterhaltspflichten und Schwerbehinderung müssen bei der Auswahl des gekündigten Arbeitnehmers ausreichend berücksichtigt werden.|a169d41b54e44ca9973c17e3c666e489
betriebsbedingte kündigung|betriebliche erfordernisse|Die betrieblichen Erfordernisse für arbeitgeberseitige Kündigungen können außerbetriebliche und innerbetriebliche Gründe umfassen.|a169d41b54e44ca9973c17e3c666e489
betriebsbedingte kündigung|unternehmerentscheidung|Der Arbeitgeber kann auf außer- oder innerbetriebliche Umstände unterschiedlich reagieren und hat ein unternehmerisches Ermessen.|a169d41b54e44ca9973c17e3c666e489
betriebsbedingte kündigung|einzelfallbezogenen interessenabwägung|Bei betriebsbedingten Kündigungen bedarf es einer einzelfallbezogenen Interessenabwägung.|4e3fb1255fc04288b7f5055f93103d53
